method,bin,mean_pred,frac_pos
uncalibrated,1,0.016545253001492132,0.18181818181818182
uncalibrated,2,0.07758845426142216,0.1
uncalibrated,3,0.21157345175743103,0.4
uncalibrated,4,0.362027582526207,0.1
uncalibrated,5,0.536000519990921,0.4
uncalibrated,6,0.7229244410991669,0.8
uncalibrated,7,0.8276298999786377,0.3
uncalibrated,8,0.9200254321098328,0.6
uncalibrated,9,0.9691412329673768,0.9
uncalibrated,10,0.9880611408840526,1.0
calibrated,1,0.17641580423223574,0.18181818181818182
calibrated,2,0.20130935117738918,0.1
calibrated,3,0.2643034216740042,0.4
calibrated,4,0.3482737064326274,0.1
calibrated,5,0.4584863218773436,0.4
calibrated,6,0.5807091388298458,0.8
calibrated,7,0.6461649598756517,0.3
calibrated,8,0.6999325603506719,0.6
calibrated,9,0.7265636768844154,0.9
calibrated,10,0.7363936930765248,1.0
