method,bin,mean_pred,frac_pos
uncalibrated,1,0.016540937146849254,0.09090909090909091
uncalibrated,2,0.04786543026566505,0.1
uncalibrated,3,0.14462286775762384,0.45454545454545453
uncalibrated,4,0.27588898986577987,0.1
uncalibrated,5,0.4607575996355577,0.36363636363636365
uncalibrated,6,0.662056052684784,0.6
uncalibrated,7,0.7905452251434326,0.7
uncalibrated,8,0.9188485145568848,0.7272727272727273
uncalibrated,9,0.9681275427341461,0.7
uncalibrated,10,0.9900237105109475,1.0
calibrated,1,0.20357405876125598,0.09090909090909091
calibrated,2,0.21823567476842465,0.1
calibrated,3,0.2687282253590336,0.45454545454545453
calibrated,4,0.3473091151174551,0.1
calibrated,5,0.47184677934608604,0.36363636363636365
calibrated,6,0.6104800474595505,0.6
calibrated,7,0.6924831475853829,0.7
calibrated,8,0.7637311681321776,0.7272727272727273
calibrated,9,0.7880254798341662,0.7
calibrated,10,0.7981639937670244,1.0
