method,bin,mean_pred,frac_pos
uncalibrated,1,0.020799733063375406,0.09090909090909091
uncalibrated,2,0.07167729437351227,0.1
uncalibrated,3,0.11129039525985718,0.2727272727272727
uncalibrated,4,0.27370608747005465,0.4
uncalibrated,5,0.5862679806622592,0.36363636363636365
uncalibrated,6,0.7967187583446502,0.5
uncalibrated,7,0.875432139635086,0.8
uncalibrated,8,0.9350319504737854,0.6363636363636364
uncalibrated,9,0.9695620834827423,0.7
uncalibrated,10,0.9881189140406522,1.0
calibrated,1,0.16496241498258948,0.09090909090909091
calibrated,2,0.18767303429315718,0.1
calibrated,3,0.207069550947665,0.2727272727272727
calibrated,4,0.30489257741859926,0.4
calibrated,5,0.5302964664760029,0.36363636363636365
calibrated,6,0.683419916097112,0.5
calibrated,7,0.7338248523698445,0.8
calibrated,8,0.7682325833942094,0.6363636363636364
calibrated,9,0.7867312146103409,0.7
calibrated,10,0.7961794374891977,1.0
