iter	Logloss
0	0.6777346497
1	0.6618028966
2	0.6472396031
3	0.6350784406
4	0.6219298106
5	0.6107443593
6	0.596995283
7	0.5862173931
8	0.5748036132
9	0.5651516632
10	0.5543332726
11	0.5460292258
12	0.5361564566
13	0.527987993
14	0.5206331673
15	0.5141701967
16	0.5062919066
17	0.500007422
18	0.4938393559
19	0.4868580357
20	0.4801116837
21	0.4742710478
22	0.466303106
23	0.4610394413
24	0.4548011956
25	0.4482602854
26	0.4437151206
27	0.4394450243
28	0.4356572219
29	0.4295472856
30	0.4252046836
31	0.4196654891
32	0.4163800335
33	0.4111753049
34	0.4063648157
35	0.4012490156
36	0.3966827043
37	0.3924988482
38	0.387538615
39	0.384132419
40	0.3800454061
41	0.3765353857
42	0.3726546487
43	0.3693495382
44	0.3658767396
45	0.3622045005
46	0.357728315
47	0.3543871652
48	0.3506783226
49	0.346881718
50	0.3433938683
51	0.3401432747
52	0.3373513975
53	0.335594241
54	0.3331754578
55	0.3305068996
56	0.3280648755
57	0.325770391
58	0.3234564596
59	0.3209664407
60	0.3188780826
61	0.3175286215
62	0.3154357864
63	0.3116144013
64	0.3098276523
65	0.3069101107
66	0.3047192014
67	0.3027357867
68	0.3006961772
69	0.2992457018
70	0.297377783
71	0.2950531883
72	0.2923676568
73	0.2907989398
74	0.2892278723
75	0.2872965298
76	0.2847984561
77	0.2831067466
78	0.2815316366
79	0.2790767793
80	0.277258593
81	0.2755013136
82	0.2734909503
83	0.2717870938
84	0.2705374135
85	0.2692189002
86	0.2673785385
87	0.265451089
88	0.2631177157
89	0.2620381091
90	0.259868725
91	0.258169666
92	0.2562452735
93	0.2543757277
94	0.2533130831
95	0.251811467
96	0.2492403081
97	0.2480589414
98	0.2463594289
99	0.2450697321
100	0.2436504525
101	0.2424754038
102	0.24090713
103	0.2397373962
104	0.2374207006
105	0.2366045802
106	0.2353710331
107	0.2337488081
108	0.2322757708
109	0.230595508
110	0.2293052181
111	0.2283383673
112	0.2264376965
113	0.2247271754
114	0.2230626161
115	0.2216672861
116	0.2198371258
117	0.2186115317
118	0.2172505301
119	0.216218228
120	0.2151214074
121	0.2137961934
122	0.2126720576
123	0.2117184616
124	0.2104559054
125	0.2098835905
126	0.2078193475
127	0.2063285375
128	0.2047161029
129	0.2038497294
130	0.2032993333
131	0.2022044399
132	0.2010199525
133	0.2000814904
134	0.1989104824
135	0.1983695753
136	0.1968898261
137	0.1957425719
138	0.1952447849
139	0.1941043136
140	0.1928544182
141	0.19179681
142	0.1910588749
143	0.1899096044
144	0.1889505989
145	0.1877409321
146	0.186354803
147	0.1849883075
148	0.184183883
149	0.1836829508
150	0.1827835525
151	0.1817347227
152	0.1811814213
153	0.1799379053
154	0.1787754426
155	0.1777738331
156	0.1772319758
157	0.1766135851
158	0.1759616311
159	0.1746961283
160	0.1733724725
161	0.1723563798
162	0.1711591879
163	0.1704339677
164	0.1698282937
165	0.1693098958
166	0.168237902
167	0.1675169278
168	0.1665430879
169	0.1659076228
170	0.165453142
171	0.1643671025
172	0.1642496166
173	0.1633503533
174	0.1622723992
175	0.1615925639
176	0.1609902262
177	0.1598359286
178	0.1586776601
179	0.1581307673
180	0.1574225296
181	0.156635827
182	0.1556966635
183	0.1546741893
184	0.1539836049
185	0.1530072048
186	0.1523511759
187	0.1517449797
188	0.1512933674
189	0.1497330511
190	0.1487305611
191	0.1481483705
192	0.1476189546
193	0.1467865731
194	0.1461491047
195	0.1455776576
196	0.1448438499
197	0.1440495229
198	0.1431721764
199	0.1424984283
200	0.1418757405
201	0.1408703802
202	0.1400250675
203	0.1392743075
204	0.1386685983
205	0.1377138069
206	0.1372662522
207	0.136469492
208	0.1356819978
209	0.1349917084
210	0.1341929092
211	0.1332174398
212	0.1322516001
213	0.1316750665
214	0.1309213796
215	0.1299020606
216	0.1293640017
217	0.1285614989
218	0.1281864672
219	0.1276881988
220	0.1268803354
221	0.1256101169
222	0.1249735636
223	0.1245676512
224	0.1238371344
225	0.1231079965
226	0.1223269622
227	0.1216615739
228	0.1212635471
229	0.1207359637
230	0.1196983684
231	0.1189037663
232	0.1183601891
233	0.1177248619
234	0.116882781
235	0.1162055716
236	0.1156288404
237	0.1151369241
238	0.1147447364
239	0.1144254913
240	0.1138074815
241	0.1131311783
242	0.1122493572
243	0.1116523628
244	0.1111871201
245	0.11064247
246	0.1099763307
247	0.109635569
248	0.1090025105
249	0.1085470218
