match_file,tournament,team_a,team_b,date,team_a_prev_matches_played,team_a_prev_matches_won,team_a_prev_win_rate,team_a_prev_sets_won,team_a_prev_sets_lost,team_a_prev_set_win_rate,team_a_prev_avg_points_scored,team_a_prev_avg_points_conceded,team_b_prev_matches_played,team_b_prev_matches_won,team_b_prev_win_rate,team_b_prev_sets_won,team_b_prev_sets_lost,team_b_prev_set_win_rate,team_b_prev_avg_points_scored,team_b_prev_avg_points_conceded,h2h_matches,h2h_team_a_wins,team_a_won
PVL2025B-W41-CCS-CHD-XML.xml,PVLOT25,CCS,CHD,20250817,11,8,0.7272727272727273,28,13,0.6829268292682927,89.45454545454545,77.45454545454545,6,5,0.8333333333333334,17,7,0.7083333333333334,92.33333333333333,74.33333333333333,0,0,1
PVLAFC2023-M24-CMFvGTH-XML.xml,PVLALL23,CMF,GTH,20231102,2,1,0.5,5,4,0.5555555555555556,91.0,94.0,2,1,0.5,3,3,0.5,55.0,59.0,0,0,1
PVLAFC2023-M42-NXLvGTH-XML_111623.xml,PVLALL23,NXL,GTH,20231116,1,0,0.0,0,3,0.0,52.0,75.0,3,1,0.3333333333333333,3,6,0.3333333333333333,55.666666666666664,64.33333333333333,0,0,1
PVLAFC2024-M14-CMF-CTC-XML.xml,PVLALL24,CMF,CTC,20240302,3,2,0.6666666666666666,8,4,0.6666666666666666,85.66666666666667,81.66666666666667,3,1,0.3333333333333333,4,6,0.4,73.66666666666667,77.66666666666667,0,0,1
PVL2024A-W61-FFF-CMF-XML.xml,PVLALL24,FFF,CMF,20240423,3,0,0.0,1,9,0.1,71.0,85.66666666666667,4,3,0.75,11,5,0.6875,88.0,79.75,0,0,0
PVL2024A-M25-CHD-CMF-XML.xml,PVLALL24,CHD,CMF,20240314,7,5,0.7142857142857143,17,10,0.6296296296296297,87.85714285714286,75.0,5,4,0.8,14,7,0.6666666666666666,92.4,83.6,0,0,0
PVL2025A-W83-HSH-CMF-XML.xml,PVLAF25,HSH,CMF,20250320,1,1,1.0,3,2,0.6,112.0,113.0,6,5,0.8333333333333334,17,7,0.7083333333333334,89.5,79.5,0,0,0
PVL2024B-M20-CTC-CCS-XML.xml,PVLR24,CTC,CCS,20240730,4,1,0.25,5,9,0.35714285714285715,73.75,82.0,12,9,0.75,31,13,0.7045454545454546,88.58333333333333,76.08333333333333,0,0,0
PVL2025B-W19-NXL-GTH-XML.xml,PVLOT25,NXL,GTH,20250715,2,1,0.5,3,3,0.5,63.5,66.0,4,1,0.25,3,9,0.25,56.0,67.0,0,0,1
PVL2024A-M67-CCS-CMF-XML.xml,PVLALL24,CCS,CMF,20240430,13,10,0.7692307692307693,34,14,0.7083333333333334,89.38461538461539,76.46153846153847,7,6,0.8571428571428571,20,9,0.6896551724137931,90.71428571428571,82.57142857142857,0,0,0
PVLAFC2023-M14-AKAvCTC-XML.xml,PVLALL23,AKA,CTC,20231024,5,1,0.2,5,14,0.2631578947368421,75.0,91.2,5,1,0.2,6,12,0.3333333333333333,75.2,85.4,0,0,1
PVL2025A-W30-CMF-FFF-XML.xml,PVLAF25,CMF,FFF,20241212,8,7,0.875,23,11,0.6764705882352942,91.875,85.625,4,0,0.0,3,12,0.2,78.0,91.75,0,0,1
PVL2025A-W07-FFF-CHD-XML.xml,PVLAF25,FFF,CHD,20241116,5,0,0.0,5,15,0.25,83.4,95.6,8,5,0.625,17,13,0.5666666666666667,84.25,75.0,0,0,0
PVL2023B-W36-VIEvCCS-XML.xml,PVLINV23,VIE,CCS,20230725,0,0,0.5,0,0,0.5,0.0,0.0,14,10,0.7142857142857143,36,17,0.6792452830188679,90.64285714285714,78.14285714285714,0,0,0
