match_id,team_a_id,team_b_id,tournament_id,team_a_elo,team_b_elo,elo_diff,elo_prob_team_a,team_a_matches_played,team_a_win_rate,team_a_avg_points,team_a_avg_attack,team_a_avg_block,team_a_avg_serve,team_b_matches_played,team_b_win_rate,team_b_avg_points,team_b_avg_attack,team_b_avg_block,team_b_avg_serve,team_a_starter_attack,team_a_starter_block,team_a_starter_serve,team_a_top_scorer,team_a_libero_digs,team_a_libero_reception,team_a_roster_depth,team_a_avg_sets_per_player,team_a_10plus_scorers,team_b_starter_attack,team_b_starter_block,team_b_starter_serve,team_b_top_scorer,team_b_libero_digs,team_b_libero_reception,team_b_roster_depth,team_b_avg_sets_per_player,team_b_10plus_scorers,team_a_wins
100,3,12,4,1497.209080707813,1439.334870654392,57.87421005342094,0.5825258007330427,18,0.8888888888888888,82.44444444444444,50.888888888888886,8.055555555555555,3.6666666666666665,6,0.0,48.5,28.833333333333332,3.3333333333333335,2.8333333333333335,3.293859649122807,0.5263157894736842,0.2412280701754386,33,1.1228070175438596,0.8859649122807017,24,3.043859649122807,34,1.922077922077922,0.2597402597402597,0.18181818181818182,12,0.8961038961038961,0.7142857142857143,19,2.2987012987012987,2,1
101,8,10,3,1465.4852198305668,1561.0799318218496,-95.5947119912828,0.3657977332592706,6,0.3333333333333333,86.16666666666667,51.666666666666664,7.333333333333333,3.6666666666666665,15,1.4666666666666666,89.0,56.0,8.8,3.933333333333333,3.7464788732394365,0.49295774647887325,0.23943661971830985,21,1.1549295774647887,0.8450704225352113,21,3.2816901408450705,15,4.386363636363637,0.6761363636363636,0.2556818181818182,34,1.6931818181818181,0.8465909090909091,21,3.1875,35,0
102,3,2,1,1505.5585646931522,1545.781529669552,-40.22296497639968,0.44237173295789534,19,0.9473684210526315,82.05263157894737,50.31578947368421,8.210526315789474,3.8947368421052633,13,1.3846153846153846,90.46153846153847,56.23076923076923,8.153846153846153,4.615384615384615,3.2024793388429753,0.5247933884297521,0.24793388429752067,33,1.1198347107438016,0.8801652892561983,24,2.9917355371900825,35,4.197452229299363,0.6369426751592356,0.35668789808917195,21,1.0828025477707006,0.7707006369426752,23,3.050955414012739,37,0
103,11,21,9,1552.565305351434,1500.0,52.56530535143406,0.5750755955061654,21,1.3333333333333333,85.23809523809524,54.0,7.523809523809524,4.428571428571429,0,0.5,0.0,0.0,0.0,0.0,3.96484375,0.5625,0.31640625,37,1.4375,0.70703125,20,2.84375,42,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,1
104,19,4,2,1484.1274287715148,1431.3570930267283,52.77033574478651,0.5753639800789004,6,0.6666666666666666,88.0,57.0,6.666666666666667,3.3333333333333335,13,0.3076923076923077,72.23076923076923,44.76923076923077,4.384615384615385,3.076923076923077,4.166666666666667,0.5,0.2222222222222222,47,1.3055555555555556,1.1944444444444444,23,3.2916666666666665,9,2.9751552795031055,0.2732919254658385,0.15527950310559005,30,1.2111801242236024,0.39751552795031053,23,2.701863354037267,16,0
105,5,16,3,1478.7036436698365,1583.6436759672856,-104.94003229744908,0.353410036232925,11,0.7272727272727273,76.0,44.81818181818182,7.818181818181818,3.0,21,1.5238095238095237,89.28571428571429,52.285714285714285,9.571428571428571,3.6666666666666665,3.3410852713178296,0.6124031007751938,0.17054263565891473,23,1.317829457364341,0.689922480620155,22,2.875968992248062,14,4.07563025210084,0.726890756302521,0.2815126050420168,29,1.6050420168067228,0.7436974789915967,22,3.2184873949579833,39,1
106,11,20,6,1561.0637934413107,1491.365614279048,69.6981791622627,0.5989795348871868,22,1.3636363636363635,84.86363636363636,53.77272727272727,7.681818181818182,4.409090909090909,1,0.0,90.0,54.0,7.0,2.0,3.962686567164179,0.5746268656716418,0.31343283582089554,37,1.3917910447761195,0.7014925373134329,20,2.824626865671642,44,4.083333333333333,0.5833333333333334,0.16666666666666666,16,1.75,0.75,12,3.3333333333333335,1,1
107,3,19,8,1496.7111300339943,1472.620149169937,24.09098086405743,0.5346142515716752,20,0.9,81.35,50.15,8.05,3.8,7,0.5714285714285714,84.0,54.42857142857143,6.285714285714286,3.0,3.2086614173228347,0.5118110236220472,0.24015748031496062,33,1.1377952755905512,0.8818897637795275,24,2.9606299212598426,37,3.9761904761904763,0.4642857142857143,0.20238095238095238,47,1.2261904761904763,1.0952380952380953,23,3.142857142857143,10,1
108,5,1,3,1491.635442945178,1607.754797077434,-116.11935413225592,0.3388469704034883,12,0.8333333333333334,78.83333333333333,46.083333333333336,7.916666666666667,3.4166666666666665,26,1.5384615384615385,91.15384615384616,57.42307692307692,8.038461538461538,5.8076923076923075,3.4714285714285715,0.6285714285714286,0.20714285714285716,23,1.4214285714285715,0.6857142857142857,22,2.9857142857142858,17,4.155063291139241,0.569620253164557,0.43354430379746833,26,1.2246835443037976,0.8354430379746836,25,3.151898734177215,62,0
109,5,10,1,1484.8585035371084,1568.395886487035,-83.53738294992672,0.38204438731675305,13,0.7692307692307693,77.15384615384616,45.15384615384615,7.615384615384615,3.3076923076923075,16,1.5,88.125,55.1875,8.6875,4.0,3.3815789473684212,0.6052631578947368,0.20394736842105263,23,1.375,0.6644736842105263,22,2.9539473684210527,18,4.252631578947368,0.6631578947368421,0.2578947368421053,34,1.6578947368421053,0.8105263157894737,21,3.1210526315789475,36,0
110,3,5,10,1506.0188450025607,1477.2176157907734,28.80122921178736,0.5413536187790307,21,0.9523809523809523,82.14285714285714,50.57142857142857,8.0,3.8095238095238093,14,0.7142857142857143,76.35714285714286,44.285714285714285,7.642857142857143,3.2857142857142856,3.1641791044776117,0.5,0.24253731343283583,33,1.1305970149253732,0.8656716417910447,24,2.962686567164179,40,3.180722891566265,0.5903614457831325,0.20481927710843373,23,1.3855421686746987,0.6385542168674698,22,2.9518072289156625,18,0
111,8,2,3,1458.1692651653814,1554.6289643287098,-96.45969916332842,0.3646433682443636,7,0.2857142857142857,81.14285714285714,48.57142857142857,6.714285714285714,3.7142857142857144,14,1.4285714285714286,89.57142857142857,55.5,8.142857142857142,4.714285714285714,3.4352941176470586,0.4470588235294118,0.2235294117647059,21,1.0705882352941176,0.788235294117647,21,3.1058823529411765,15,4.171597633136095,0.6390532544378699,0.3668639053254438,21,1.0591715976331362,0.7810650887573964,23,3.0118343195266273,39,0
